frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1703","Dec 10, 2024 20:16:59.548661649 IST","172.18.0.3","172.18.0.2","1079","52006","54","1079 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1704","Dec 10, 2024 20:16:59.548673301 IST","172.18.0.2","172.18.0.3","52006","6779","58","52006 → 6779 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1705","Dec 10, 2024 20:16:59.548677074 IST","172.18.0.3","172.18.0.2","6779","52006","54","6779 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1706","Dec 10, 2024 20:16:59.548688901 IST","172.18.0.2","172.18.0.3","52006","82","58","52006 → 82 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1707","Dec 10, 2024 20:16:59.548692327 IST","172.18.0.3","172.18.0.2","82","52006","54","82 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1708","Dec 10, 2024 20:16:59.548703792 IST","172.18.0.2","172.18.0.3","52006","31337","58","52006 → 31337 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1709","Dec 10, 2024 20:16:59.548707330 IST","172.18.0.3","172.18.0.2","31337","52006","54","31337 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1710","Dec 10, 2024 20:16:59.548719185 IST","172.18.0.2","172.18.0.3","52006","1132","58","52006 → 1132 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1711","Dec 10, 2024 20:16:59.548722924 IST","172.18.0.3","172.18.0.2","1132","52006","54","1132 → 52006 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1712","Dec 10, 2024 20:16:59.548734537 IST","172.18.0.2","172.18.0.3","52006","1500","58","52006 → 1500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
