frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,_ws.col.Info
"1631","Dec 16, 2024 14:24:03.000884999 IST","172.18.0.3","172.18.0.2","631","39799","54","631 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1632","Dec 16, 2024 14:24:03.000896858 IST","172.18.0.2","172.18.0.3","39799","1296","58","39799 → 1296 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1633","Dec 16, 2024 14:24:03.000900518 IST","172.18.0.3","172.18.0.2","1296","39799","54","1296 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1634","Dec 16, 2024 14:24:03.000911835 IST","172.18.0.2","172.18.0.3","39799","1042","58","39799 → 1042 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1635","Dec 16, 2024 14:24:03.000915217 IST","172.18.0.3","172.18.0.2","1042","39799","54","1042 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1636","Dec 16, 2024 14:24:03.000926043 IST","172.18.0.2","172.18.0.3","39799","2394","58","39799 → 2394 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1637","Dec 16, 2024 14:24:03.000929356 IST","172.18.0.3","172.18.0.2","2394","39799","54","2394 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1638","Dec 16, 2024 14:24:03.000940481 IST","172.18.0.2","172.18.0.3","39799","8652","58","39799 → 8652 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1639","Dec 16, 2024 14:24:03.000943901 IST","172.18.0.3","172.18.0.2","8652","39799","54","8652 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1640","Dec 16, 2024 14:24:03.000955282 IST","172.18.0.2","172.18.0.3","39799","1033","58","39799 → 1033 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1641","Dec 16, 2024 14:24:03.000958751 IST","172.18.0.3","172.18.0.2","1033","39799","54","1033 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1642","Dec 16, 2024 14:24:03.000969553 IST","172.18.0.2","172.18.0.3","39799","5550","58","39799 → 5550 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1643","Dec 16, 2024 14:24:03.000973025 IST","172.18.0.3","172.18.0.2","5550","39799","54","5550 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1644","Dec 16, 2024 14:24:03.000984458 IST","172.18.0.2","172.18.0.3","39799","32774","58","39799 → 32774 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1645","Dec 16, 2024 14:24:03.000987810 IST","172.18.0.3","172.18.0.2","32774","39799","54","32774 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1646","Dec 16, 2024 14:24:03.001113628 IST","172.18.0.2","172.18.0.3","39799","3945","58","39799 → 3945 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1647","Dec 16, 2024 14:24:03.001120133 IST","172.18.0.3","172.18.0.2","3945","39799","54","3945 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1648","Dec 16, 2024 14:24:03.001132625 IST","172.18.0.2","172.18.0.3","39799","3517","58","39799 → 3517 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1649","Dec 16, 2024 14:24:03.001136143 IST","172.18.0.3","172.18.0.2","3517","39799","54","3517 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1650","Dec 16, 2024 14:24:03.001147516 IST","172.18.0.2","172.18.0.3","39799","1187","58","39799 → 1187 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1651","Dec 16, 2024 14:24:03.001151051 IST","172.18.0.3","172.18.0.2","1187","39799","54","1187 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1652","Dec 16, 2024 14:24:03.001162168 IST","172.18.0.2","172.18.0.3","39799","1864","58","39799 → 1864 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1653","Dec 16, 2024 14:24:03.001165765 IST","172.18.0.3","172.18.0.2","1864","39799","54","1864 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1654","Dec 16, 2024 14:24:03.001177474 IST","172.18.0.2","172.18.0.3","39799","3827","58","39799 → 3827 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1655","Dec 16, 2024 14:24:03.001181079 IST","172.18.0.3","172.18.0.2","3827","39799","54","3827 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1656","Dec 16, 2024 14:24:03.001192479 IST","172.18.0.2","172.18.0.3","39799","2196","58","39799 → 2196 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1657","Dec 16, 2024 14:24:03.001195901 IST","172.18.0.3","172.18.0.2","2196","39799","54","2196 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1658","Dec 16, 2024 14:24:03.001206918 IST","172.18.0.2","172.18.0.3","39799","6025","58","39799 → 6025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1659","Dec 16, 2024 14:24:03.001210285 IST","172.18.0.3","172.18.0.2","6025","39799","54","6025 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1660","Dec 16, 2024 14:24:03.001221805 IST","172.18.0.2","172.18.0.3","39799","9200","58","39799 → 9200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1661","Dec 16, 2024 14:24:03.001225101 IST","172.18.0.3","172.18.0.2","9200","39799","54","9200 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1662","Dec 16, 2024 14:24:03.001237286 IST","172.18.0.2","172.18.0.3","39799","4126","58","39799 → 4126 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1663","Dec 16, 2024 14:24:03.001240753 IST","172.18.0.3","172.18.0.2","4126","39799","54","4126 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1664","Dec 16, 2024 14:24:03.001252155 IST","172.18.0.2","172.18.0.3","39799","1093","58","39799 → 1093 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1665","Dec 16, 2024 14:24:03.001255568 IST","172.18.0.3","172.18.0.2","1093","39799","54","1093 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1666","Dec 16, 2024 14:24:03.001266393 IST","172.18.0.2","172.18.0.3","39799","6699","58","39799 → 6699 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1667","Dec 16, 2024 14:24:03.001269672 IST","172.18.0.3","172.18.0.2","6699","39799","54","6699 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1668","Dec 16, 2024 14:24:03.001280614 IST","172.18.0.2","172.18.0.3","39799","7999","58","39799 → 7999 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1669","Dec 16, 2024 14:24:03.001284065 IST","172.18.0.3","172.18.0.2","7999","39799","54","7999 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1670","Dec 16, 2024 14:24:03.001295333 IST","172.18.0.2","172.18.0.3","39799","61532","58","39799 → 61532 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1671","Dec 16, 2024 14:24:03.001298867 IST","172.18.0.3","172.18.0.2","61532","39799","54","61532 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1672","Dec 16, 2024 14:24:03.001309703 IST","172.18.0.2","172.18.0.3","39799","49155","58","39799 → 49155 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1673","Dec 16, 2024 14:24:03.001313052 IST","172.18.0.3","172.18.0.2","49155","39799","54","49155 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1674","Dec 16, 2024 14:24:03.001323908 IST","172.18.0.2","172.18.0.3","39799","1761","58","39799 → 1761 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1675","Dec 16, 2024 14:24:03.001327336 IST","172.18.0.3","172.18.0.2","1761","39799","54","1761 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1676","Dec 16, 2024 14:24:03.001338668 IST","172.18.0.2","172.18.0.3","39799","5987","58","39799 → 5987 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1677","Dec 16, 2024 14:24:03.001341996 IST","172.18.0.3","172.18.0.2","5987","39799","54","5987 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1678","Dec 16, 2024 14:24:03.001352612 IST","172.18.0.2","172.18.0.3","39799","593","58","39799 → 593 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1679","Dec 16, 2024 14:24:03.001356063 IST","172.18.0.3","172.18.0.2","593","39799","54","593 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1680","Dec 16, 2024 14:24:03.001367020 IST","172.18.0.2","172.18.0.3","39799","49154","58","39799 → 49154 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1681","Dec 16, 2024 14:24:03.001370359 IST","172.18.0.3","172.18.0.2","49154","39799","54","49154 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1682","Dec 16, 2024 14:24:03.001381417 IST","172.18.0.2","172.18.0.3","39799","19350","58","39799 → 19350 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1683","Dec 16, 2024 14:24:03.001384813 IST","172.18.0.3","172.18.0.2","19350","39799","54","19350 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1684","Dec 16, 2024 14:24:03.001396015 IST","172.18.0.2","172.18.0.3","39799","5544","58","39799 → 5544 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1685","Dec 16, 2024 14:24:03.001399315 IST","172.18.0.3","172.18.0.2","5544","39799","54","5544 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1686","Dec 16, 2024 14:24:03.001410575 IST","172.18.0.2","172.18.0.3","39799","9111","58","39799 → 9111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1687","Dec 16, 2024 14:24:03.001414022 IST","172.18.0.3","172.18.0.2","9111","39799","54","9111 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1688","Dec 16, 2024 14:24:03.001425333 IST","172.18.0.2","172.18.0.3","39799","44442","58","39799 → 44442 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"1689","Dec 16, 2024 14:24:03.001428767 IST","172.18.0.3","172.18.0.2","44442","39799","54","44442 → 39799 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"1690","Dec 16, 2024 14:24:03.001439727 IST","172.18.0.2","172.18.0.3","39799","6881","58","39799 → 6881 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
